[
[ -0.42, -0.73, 0, 1, 0 ],
[ -0.62, 0.58, 0, 0, 1 ],
[ -0.41, -0.21, 0, 0, 1 ],
[ 0.08, -0.75, 0, 1, 0 ],
[ 0.35, 0.6, 1, 0, 0 ],
[ -0.22, 0.66, 1, 0, 0 ],
[ -0.88, 0.11, 0, 0, 1 ],
[ -0.36, -0.9400000000000001, 0, 1, 0 ],
[ 0.97, -0.9, 0, 1, 0 ],
[ -0.78, 0.44, 0, 0, 1 ],
[ 0.14, -0.6, 0, 1, 0 ],
[ 0.73, -0.97, 0, 1, 0 ],
[ -0.76, -0.98, 0, 1, 0 ],
[ 0.13, 0.73, 1, 0, 0 ],
[ -0.88, -0.5600000000000001, 0, 1, 0 ],
[ -0.3, 0.71, 1, 0, 0 ],
[ 0.55, -0.86, 0, 1, 0 ],
[ 0.36, -1., 0, 1, 0 ],
[ -0.04, 0.5600000000000001, 1, 0, 0 ],
[ 0.47, -0.71, 0, 1, 0 ],
[ 0.76, 0.3, 0, 0, 1 ],
[ -0.1, 0.62, 1, 0, 0 ],
[ 0.33, 0.5600000000000001, 1, 0, 0 ],
[ -0.09, 0.85, 1, 0, 0 ],
[ -0.22, 0.49, 1, 0, 0 ],
[ 0.38, 0.25, 0, 0, 1 ],
[ 0.24, 0.79, 1, 0, 0 ],
[ -0.62, -0.4, 0, 0, 1 ],
[ -0.37, -0.67, 0, 1, 0 ],
[ 0.25, 0.25, 1, 0, 0 ],
[ -0.96, 0.1, 0, 0, 1 ],
[ 0.05, 0.8, 1, 0, 0 ],
[ -0.32, -0.6, 0, 1, 0 ],
[ 0.28, 0.39, 1, 0, 0 ],
[ -0.67, -0.15, 0, 0, 1 ],
[ -0.5700000000000001, -0.35, 0, 0, 1 ],
[ 0.9400000000000001, 0.14, 0, 0, 1 ],
[ 0.89, 0.65, 0, 0, 1 ],
[ -0.12, 0.75, 1, 0, 0 ],
[ -0.19, 0.6, 1, 0, 0 ],
[ 0.61, 0.86, 0, 0, 1 ],
[ -0.01, -0.84, 0, 1, 0 ],
[ -0.49, -0.72, 0, 1, 0 ],
[ 0.5, -0.78, 0, 1, 0 ],
[ 0.9, 0.06, 0, 0, 1 ],
[ -0.03, 0.46, 1, 0, 0 ],
[ 0.33, 0.9, 0, 0, 1 ],
[ 0.68, -0.97, 0, 1, 0 ],
[ -0.58, -0.64, 0, 1, 0 ],
[ -0.19, 0.93, 0, 0, 1 ],
[ -1., 0.52, 0, 0, 1 ],
[ -0.31, -0.6900000000000001, 0, 1, 0 ],
[ 0.92, -0.88, 0, 1, 0 ],
[ -0.97, -0.52, 0, 1, 0 ],
[ 0.25, 0.71, 1, 0, 0 ],
[ 0.29, -0.99, 0, 1, 0 ],
[ -0.01, 0.15, 1, 0, 0 ],
[ -0.79, -0.55, 0, 1, 0 ],
[ -0.97, 0.29, 0, 0, 1 ],
[ 0.5600000000000001, 0.08, 0, 0, 1 ],
[ 0.9500000000000001, 0.7000000000000001, 0, 0, 1 ],
[ 0.53, 0.62, 0, 0, 1 ],
[ 0.89, 0.09, 0, 0, 1 ],
[ 0.12, 0.26, 1, 0, 0 ],
[ -0.25, 0.75, 1, 0, 0 ],
[ 0.3, -0.5, 0, 1, 0 ],
[ 0.17, 0.26, 1, 0, 0 ],
[ -0.17, -0.26, 0, 0, 1 ],
[ -0.11, -0.39, 0, 0, 1 ],
[ 0.9, -0.04, 0, 0, 1 ],
[ 0.5600000000000001, 0.8100000000000001, 0, 0, 1 ],
[ 0.31, -0.5, 0, 1, 0 ],
[ -0.79, -0.84, 0, 1, 0 ],
[ 0.87, 0.1, 0, 0, 1 ],
[ 0.75, -0.75, 0, 1, 0 ],
[ -0.27, 0.21, 1, 0, 0 ],
[ 0.12, 0.38, 1, 0, 0 ],
[ -0.1, 0.13, 1, 0, 0 ],
[ 0.28, 0.61, 1, 0, 0 ],
[ 0.8100000000000001, 0.67, 0, 0, 1 ],
[ 0.15, 0.96, 0, 0, 1 ],
[ 0.51, -0.54, 0, 1, 0 ],
[ -0.29, 0.59, 1, 0, 0 ],
[ 0.99, 0.93, 0, 0, 1 ],
[ 0.59, 0.73, 0, 0, 1 ],
[ 0.62, 0.06, 0, 0, 1 ],
